PID, BUS, Root, BusTime, QueueTime
[people-1, bus-Bus_2, BusStop_4->BusStop_1, 5, 3]
[people-4, bus-Bus_2, BusStop_4->BusStop_1, 5, 3]
[people-6, bus-Bus_2, BusStop_4->BusStop_1, 5, 3]
[people-20, bus-Bus_2, BusStop_4->BusStop_1, 5, 2]
[people-42, bus-Bus_0, BusStop_3->BusStop_4, 4, 6]
[people-35, bus-Bus_1, BusStop_1->BusStop_4, 4, 7]
[people-39, bus-Bus_1, BusStop_1->BusStop_4, 4, 7]
[people-52, bus-Bus_2, BusStop_1->BusStop_4, 4, 6]
[people-55, bus-Bus_2, BusStop_1->BusStop_4, 4, 6]
[people-56, bus-Bus_2, BusStop_1->BusStop_4, 4, 6]
[people-57, bus-Bus_2, BusStop_1->BusStop_4, 4, 6]
[people-91, bus-Bus_3, BusStop_1->BusStop_4, 4, 5]
[people-92, bus-Bus_3, BusStop_1->BusStop_4, 4, 5]
[people-25, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-27, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-2, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-19, bus-Bus_0, BusStop_4->BusStop_2, 4, 11]
[people-34, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-37, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-38, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-22, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 7]
[people-23, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 7]
[people-26, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 7]
[people-43, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_0, 8, 6]
[people-5, bus-Bus_2, BusStop_4->BusStop_0, 13, 3]
[people-68, bus-Bus_2, BusStop_4->BusStop_0, 13, 0]
[people-51, bus-Bus_2, BusStop_1->BusStop_0, 8, 6]
[people-54, bus-Bus_2, BusStop_1->BusStop_0, 8, 6]
[people-90, bus-Bus_3, BusStop_1->BusStop_0, 8, 5]
[people-93, bus-Bus_3, BusStop_1->BusStop_0, 8, 5]
[people-3, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-18, bus-Bus_0, BusStop_4->BusStop_3, 12, 11]
[people-67, bus-Bus_0, BusStop_4->BusStop_3, 12, 9]
[people-29, bus-Bus_0, BusStop_2->BusStop_3, 8, 15]
[people-21, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 7]
[people-24, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 7]
[people-44, bus-Bus_0-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 6]
[people-17, bus-Bus_2, BusStop_0->BusStop_1, 8, 15]
[people-41, bus-Bus_2, BusStop_0->BusStop_1, 8, 14]
[people-63, bus-Bus_2, BusStop_0->BusStop_1, 8, 13]
[people-65, bus-Bus_2, BusStop_0->BusStop_1, 8, 13]
