PID, BUS, Root, BusTime, QueueTime
[people-18, bus-Bus_3, BusStop_1->BusStop_4, 4, 0]
[people-21, bus-Bus_3, BusStop_1->BusStop_4, 4, 0]
[people-24, bus-Bus_3, BusStop_1->BusStop_4, 4, 0]
[people-16, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-12, bus-Bus_2, BusStop_3->BusStop_2, 8, 0]
[people-55, bus-Bus_2, BusStop_4->BusStop_2, 4, 1]
[people-56, bus-Bus_2, BusStop_4->BusStop_2, 4, 1]
[people-60, bus-Bus_2, BusStop_4->BusStop_2, 4, 1]
[people-85, bus-Bus_2, BusStop_4->BusStop_2, 4, 0]
[people-19, bus-Bus_3, BusStop_1->BusStop_0, 8, 0]
[people-20, bus-Bus_3, BusStop_1->BusStop_0, 8, 0]
[people-6, bus-Bus_3, BusStop_4->BusStop_0, 4, 4]
[people-28, bus-Bus_3, BusStop_4->BusStop_0, 4, 3]
[people-29, bus-Bus_3, BusStop_4->BusStop_0, 4, 3]
[people-14, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-17, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-62, bus-Bus_0, BusStop_3->BusStop_4, 4, 5]
[people-1, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-39, bus-Bus_1, BusStop_1->BusStop_4, 4, 7]
[people-30, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-45, bus-Bus_0, BusStop_3->BusStop_2, 8, 6]
[people-86, bus-Bus_0, BusStop_4->BusStop_2, 4, 8]
[people-22, bus-Bus_3-Bus_0, BusStop_1->BusStop_4->BusStop_2, 8, 8]
[people-25, bus-Bus_3-Bus_0, BusStop_1->BusStop_4->BusStop_2, 8, 8]
[people-26, bus-Bus_3-Bus_0, BusStop_1->BusStop_4->BusStop_2, 8, 8]
[people-35, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-40, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-52, bus-Bus_1, BusStop_1->BusStop_0, 8, 6]
[people-81, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-89, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-3, bus-Bus_2, BusStop_4->BusStop_3, 12, 4]
[people-8, bus-Bus_2, BusStop_4->BusStop_3, 12, 4]
[people-57, bus-Bus_2, BusStop_4->BusStop_3, 12, 1]
[people-83, bus-Bus_2, BusStop_4->BusStop_3, 12, 0]
[people-84, bus-Bus_2, BusStop_4->BusStop_3, 12, 0]
[people-34, bus-Bus_2, BusStop_2->BusStop_3, 8, 7]
[people-4, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-5, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-7, bus-Bus_3, BusStop_4->BusStop_1, 12, 4]
[people-44, bus-Bus_3, BusStop_4->BusStop_1, 12, 2]
[people-58, bus-Bus_3, BusStop_4->BusStop_1, 12, 1]
[people-27, bus-Bus_3, BusStop_0->BusStop_1, 8, 7]
[people-33, bus-Bus_2, BusStop_2->BusStop_4, 12, 7]
[people-90, bus-Bus_2, BusStop_3->BusStop_4, 4, 12]
[people-94, bus-Bus_2, BusStop_3->BusStop_4, 4, 12]
[people-74, bus-Bus_3, BusStop_1->BusStop_4, 4, 13]
[people-78, bus-Bus_3, BusStop_1->BusStop_4, 4, 13]
[people-23, bus-Bus_3-Bus_0, BusStop_1->BusStop_4->BusStop_3, 16, 8]
[people-51, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-65, bus-Bus_0, BusStop_2->BusStop_3, 8, 13]
[people-69, bus-Bus_0, BusStop_2->BusStop_3, 8, 13]
[people-59, bus-Bus_1, BusStop_4->BusStop_1, 12, 9]
[people-82, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-87, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-88, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-9, bus-Bus_2-Bus_1, BusStop_3->BusStop_4->BusStop_1, 16, 8]
