PID, BUS, Root, BusTime, QueueTime
[people-2, bus-Bus_1, BusStop_0->BusStop_4, 4, 0]
[people-8, bus-Bus_1, BusStop_0->BusStop_4, 4, 0]
[people-5, bus-Bus_1, BusStop_0->BusStop_3, 8, 0]
[people-6, bus-Bus_1, BusStop_0->BusStop_3, 8, 0]
[people-9, bus-Bus_1, BusStop_0->BusStop_3, 8, 0]
[people-11, bus-Bus_1, BusStop_4->BusStop_3, 4, 4]
[people-22, bus-Bus_1, BusStop_4->BusStop_3, 4, 3]
[people-23, bus-Bus_1, BusStop_4->BusStop_3, 4, 3]
[people-76, bus-Bus_1, BusStop_4->BusStop_3, 4, 0]
[people-77, bus-Bus_1, BusStop_4->BusStop_3, 4, 0]
[people-15, bus-Bus_2, BusStop_1->BusStop_2, 8, 0]
[people-1, bus-Bus_3, BusStop_0->BusStop_1, 8, 0]
[people-25, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-28, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-29, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-30, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-47, bus-Bus_0, BusStop_3->BusStop_4, 4, 6]
[people-37, bus-Bus_2, BusStop_2->BusStop_4, 4, 7]
[people-38, bus-Bus_2, BusStop_2->BusStop_4, 4, 7]
[people-50, bus-Bus_2, BusStop_2->BusStop_4, 4, 6]
[people-67, bus-Bus_2, BusStop_2->BusStop_4, 4, 5]
[people-51, bus-Bus_3, BusStop_1->BusStop_4, 4, 6]
[people-52, bus-Bus_3, BusStop_1->BusStop_4, 4, 6]
[people-53, bus-Bus_3, BusStop_1->BusStop_4, 4, 6]
[people-24, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-64, bus-Bus_0, BusStop_3->BusStop_2, 8, 5]
[people-10, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-14, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-45, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-60, bus-Bus_0, BusStop_4->BusStop_2, 4, 9]
[people-80, bus-Bus_0, BusStop_4->BusStop_2, 4, 8]
[people-58, bus-Bus_1, BusStop_4->BusStop_0, 12, 1]
[people-63, bus-Bus_1, BusStop_4->BusStop_0, 12, 1]
[people-26, bus-Bus_1, BusStop_3->BusStop_0, 8, 7]
[people-32, bus-Bus_1, BusStop_3->BusStop_0, 8, 7]
[people-48, bus-Bus_1, BusStop_3->BusStop_0, 8, 6]
[people-86, bus-Bus_1, BusStop_3->BusStop_0, 8, 4]
[people-33, bus-Bus_2, BusStop_2->BusStop_1, 8, 7]
[people-34, bus-Bus_2, BusStop_2->BusStop_1, 8, 7]
[people-35, bus-Bus_2, BusStop_2->BusStop_1, 8, 7]
[people-36, bus-Bus_2, BusStop_2->BusStop_1, 8, 7]
[people-65, bus-Bus_2, BusStop_2->BusStop_1, 8, 5]
[people-12, bus-Bus_2, BusStop_4->BusStop_1, 4, 12]
[people-13, bus-Bus_2, BusStop_4->BusStop_1, 4, 12]
[people-59, bus-Bus_2, BusStop_4->BusStop_1, 4, 9]
[people-61, bus-Bus_2, BusStop_4->BusStop_1, 4, 9]
[people-62, bus-Bus_2, BusStop_4->BusStop_1, 4, 9]
[people-39, bus-Bus_3, BusStop_1->BusStop_0, 8, 7]
[people-55, bus-Bus_3, BusStop_1->BusStop_0, 8, 6]
[people-71, bus-Bus_3, BusStop_1->BusStop_0, 8, 5]
[people-79, bus-Bus_3, BusStop_4->BusStop_0, 4, 8]
[people-82, bus-Bus_3, BusStop_4->BusStop_0, 4, 8]
[people-66, bus-Bus_2-Bus_3, BusStop_2->BusStop_4->BusStop_0, 8, 5]
[people-87, bus-Bus_1, BusStop_3->BusStop_4, 12, 4]
[people-21, bus-Bus_1, BusStop_0->BusStop_4, 4, 15]
[people-42, bus-Bus_1, BusStop_0->BusStop_4, 4, 14]
[people-75, bus-Bus_1, BusStop_0->BusStop_4, 4, 12]
[people-78, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-81, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-83, bus-Bus_0, BusStop_4->BusStop_3, 12, 8]
[people-49, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-43, bus-Bus_1, BusStop_0->BusStop_3, 8, 14]
[people-56, bus-Bus_1, BusStop_0->BusStop_3, 8, 13]
[people-57, bus-Bus_1, BusStop_0->BusStop_3, 8, 13]
[people-69, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-70, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-73, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 13]
[people-96, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_3, 8, 12]
[people-40, bus-Bus_2, BusStop_1->BusStop_2, 8, 15]
[people-54, bus-Bus_2, BusStop_1->BusStop_2, 8, 14]
[people-72, bus-Bus_2, BusStop_1->BusStop_2, 8, 13]
[people-100, bus-Bus_2, BusStop_1->BusStop_2, 8, 12]
[people-27, bus-Bus_0-Bus_3, BusStop_3->BusStop_4->BusStop_1, 16, 7]
[people-31, bus-Bus_0-Bus_3, BusStop_3->BusStop_4->BusStop_1, 16, 7]
[people-46, bus-Bus_0-Bus_3, BusStop_3->BusStop_4->BusStop_1, 16, 6]
[people-17, bus-Bus_3, BusStop_0->BusStop_1, 8, 15]
[people-18, bus-Bus_3, BusStop_0->BusStop_1, 8, 15]
[people-19, bus-Bus_3, BusStop_0->BusStop_1, 8, 15]
[people-20, bus-Bus_3, BusStop_0->BusStop_1, 8, 15]
[people-41, bus-Bus_3, BusStop_0->BusStop_1, 8, 14]
[people-74, bus-Bus_3, BusStop_0->BusStop_1, 8, 12]
[people-68, bus-Bus_0, BusStop_2->BusStop_4, 12, 13]
[people-90, bus-Bus_0, BusStop_2->BusStop_4, 12, 12]
[people-98, bus-Bus_2, BusStop_1->BusStop_4, 12, 12]
[people-93, bus-Bus_2, BusStop_2->BusStop_4, 4, 20]
[people-84, bus-Bus_0, BusStop_4->BusStop_2, 4, 24]
[people-3, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 24]
[people-4, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 24]
[people-7, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 24]
[people-16, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 23]
[people-44, bus-Bus_1-Bus_0, BusStop_0->BusStop_4->BusStop_2, 8, 22]
[people-94, bus-Bus_2, BusStop_2->BusStop_1, 8, 20]
[people-85, bus-Bus_1-Bus_2, BusStop_3->BusStop_4->BusStop_1, 16, 12]
[people-97, bus-Bus_3, BusStop_1->BusStop_0, 8, 20]
[people-99, bus-Bus_3, BusStop_1->BusStop_0, 8, 20]
[people-88, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 12]
[people-89, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 12]
[people-91, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 12]
[people-92, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 12]
[people-95, bus-Bus_0, BusStop_2->BusStop_3, 8, 28]
Finish Steps, 41
