PID, BUS, Root, BusTime, QueueTime
[people-16, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-21, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-9, bus-Bus_2, BusStop_4->BusStop_1, 5, 3]
[people-10, bus-Bus_2, BusStop_4->BusStop_1, 5, 3]
[people-34, bus-Bus_2, BusStop_4->BusStop_1, 5, 2]
[people-71, bus-Bus_2, BusStop_4->BusStop_1, 5, 0]
[people-18, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-19, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-13, bus-Bus_0, BusStop_3->BusStop_4, 4, 8]
[people-37, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-23, bus-Bus_1, BusStop_1->BusStop_4, 4, 8]
[people-40, bus-Bus_1, BusStop_1->BusStop_4, 4, 7]
[people-42, bus-Bus_2, BusStop_1->BusStop_4, 4, 7]
[people-44, bus-Bus_2, BusStop_1->BusStop_4, 4, 7]
[people-36, bus-Bus_0, BusStop_3->BusStop_2, 8, 7]
[people-3, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-11, bus-Bus_0, BusStop_4->BusStop_2, 4, 12]
[people-53, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-54, bus-Bus_0, BusStop_4->BusStop_2, 4, 10]
[people-69, bus-Bus_0, BusStop_4->BusStop_2, 4, 9]
[people-22, bus-Bus_1, BusStop_1->BusStop_0, 8, 8]
[people-38, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-72, bus-Bus_1, BusStop_4->BusStop_0, 4, 9]
[people-75, bus-Bus_1, BusStop_4->BusStop_0, 4, 9]
[people-104, bus-Bus_1, BusStop_4->BusStop_0, 4, 8]
[people-4, bus-Bus_2, BusStop_4->BusStop_0, 13, 3]
[people-5, bus-Bus_2, BusStop_4->BusStop_0, 13, 3]
[people-35, bus-Bus_2, BusStop_4->BusStop_0, 13, 2]
[people-52, bus-Bus_2, BusStop_4->BusStop_0, 13, 1]
[people-68, bus-Bus_2, BusStop_4->BusStop_0, 13, 0]
[people-70, bus-Bus_2, BusStop_4->BusStop_0, 13, 0]
[people-43, bus-Bus_2, BusStop_1->BusStop_0, 8, 7]
[people-168, bus-Bus_2, BusStop_4->BusStop_0, 4, 4]
[people-237, bus-Bus_3, BusStop_4->BusStop_0, 4, 0]
[people-241, bus-Bus_3, BusStop_4->BusStop_0, 4, 0]
[people-17, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_0, 16, 0]
[people-12, bus-Bus_0-Bus_3, BusStop_3->BusStop_4->BusStop_0, 8, 8]
[people-6, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-7, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-8, bus-Bus_0, BusStop_4->BusStop_3, 12, 12]
[people-51, bus-Bus_0, BusStop_4->BusStop_3, 12, 10]
[people-63, bus-Bus_0, BusStop_2->BusStop_3, 8, 14]
[people-74, bus-Bus_1, BusStop_4->BusStop_1, 12, 9]
[people-103, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-105, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-106, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-109, bus-Bus_1, BusStop_4->BusStop_1, 12, 8]
[people-27, bus-Bus_1, BusStop_0->BusStop_1, 8, 15]
[people-182, bus-Bus_2, BusStop_4->BusStop_1, 12, 3]
[people-221, bus-Bus_2, BusStop_4->BusStop_1, 12, 1]
[people-32, bus-Bus_2, BusStop_0->BusStop_1, 8, 15]
[people-47, bus-Bus_2, BusStop_0->BusStop_1, 8, 14]
[people-50, bus-Bus_2, BusStop_0->BusStop_1, 8, 14]
[people-235, bus-Bus_3, BusStop_4->BusStop_1, 12, 0]
[people-236, bus-Bus_3, BusStop_4->BusStop_1, 12, 0]
[people-239, bus-Bus_3, BusStop_4->BusStop_1, 12, 0]
[people-242, bus-Bus_3, BusStop_4->BusStop_1, 12, 0]
[people-15, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_1, 24, 0]
[people-20, bus-Bus_0-Bus_3, BusStop_2->BusStop_4->BusStop_1, 24, 0]
[people-93, bus-Bus_3, BusStop_0->BusStop_1, 8, 12]
[people-64, bus-Bus_0, BusStop_2->BusStop_4, 12, 14]
