PID, BUS, Root, BusTime, QueueTime
[people-24, bus-Bus_0, BusStop_1->BusStop_2, 4, 0]
[people-2, bus-Bus_3, BusStop_0->BusStop_1, 4, 0]
[people-71, bus-Bus_0, BusStop_2->BusStop_5, 4, 3]
[people-175, bus-Bus_2, BusStop_5->BusStop_8, 4, 1]
[people-215, bus-Bus_2, BusStop_5->BusStop_8, 4, 0]
[people-3, bus-Bus_3, BusStop_0->BusStop_4, 8, 0]
[people-4, bus-Bus_3, BusStop_0->BusStop_4, 8, 0]
[people-77, bus-Bus_3, BusStop_1->BusStop_4, 4, 3]
[people-8, bus-Bus_1, BusStop_4->BusStop_6, 8, 4]
[people-10, bus-Bus_1, BusStop_4->BusStop_6, 8, 4]
[people-66, bus-Bus_1, BusStop_4->BusStop_6, 8, 3]
[people-43, bus-Bus_2, BusStop_5->BusStop_7, 8, 4]
[people-46, bus-Bus_2, BusStop_5->BusStop_7, 8, 4]
[people-139, bus-Bus_2, BusStop_5->BusStop_7, 8, 2]
[people-216, bus-Bus_2, BusStop_5->BusStop_7, 8, 0]
[people-25, bus-Bus_3, BusStop_1->BusStop_3, 8, 4]
[people-26, bus-Bus_3, BusStop_1->BusStop_3, 8, 4]
[people-160, bus-Bus_3, BusStop_1->BusStop_3, 8, 1]
[people-198, bus-Bus_4, BusStop_1->BusStop_3, 8, 0]
[people-200, bus-Bus_4, BusStop_1->BusStop_3, 8, 0]
[people-103, bus-Bus_5, BusStop_4->BusStop_3, 4, 6]
[people-72, bus-Bus_0, BusStop_2->BusStop_1, 12, 3]
[people-74, bus-Bus_0, BusStop_2->BusStop_1, 12, 3]
[people-75, bus-Bus_0, BusStop_2->BusStop_1, 12, 3]
[people-76, bus-Bus_0, BusStop_2->BusStop_1, 12, 3]
[people-37, bus-Bus_1, BusStop_6->BusStop_3, 4, 12]
[people-161, bus-Bus_3, BusStop_1->BusStop_0, 12, 1]
[people-6, bus-Bus_3, BusStop_4->BusStop_0, 8, 8]
[people-11, bus-Bus_3, BusStop_4->BusStop_0, 8, 8]
[people-197, bus-Bus_4, BusStop_1->BusStop_0, 12, 0]
[people-199, bus-Bus_4, BusStop_1->BusStop_0, 12, 0]
[people-64, bus-Bus_4, BusStop_4->BusStop_0, 8, 7]
[people-65, bus-Bus_4, BusStop_4->BusStop_0, 8, 7]
[people-79, bus-Bus_0, BusStop_1->BusStop_2, 4, 15]
[people-5, bus-Bus_3-Bus_0, BusStop_0->BusStop_1->BusStop_2, 8, 12]
[people-420, bus-Bus_0, BusStop_1->BusStop_2, 4, 7]
[people-619, bus-Bus_0, BusStop_1->BusStop_2, 4, 2]
[people-654, bus-Bus_0, BusStop_1->BusStop_2, 4, 1]
[people-655, bus-Bus_0, BusStop_1->BusStop_2, 4, 1]
[people-657, bus-Bus_0, BusStop_1->BusStop_2, 4, 1]
[people-32, bus-Bus_1, BusStop_7->BusStop_4, 12, 8]
[people-84, bus-Bus_1, BusStop_7->BusStop_4, 12, 7]
[people-12, bus-Bus_3, BusStop_4->BusStop_1, 12, 8]
[people-59, bus-Bus_3, BusStop_4->BusStop_1, 12, 7]
[people-14, bus-Bus_3, BusStop_3->BusStop_1, 8, 12]
[people-67, bus-Bus_3, BusStop_3->BusStop_1, 8, 11]
[people-62, bus-Bus_4, BusStop_4->BusStop_1, 12, 7]
[people-63, bus-Bus_4, BusStop_4->BusStop_1, 12, 7]
[people-99, bus-Bus_4, BusStop_4->BusStop_1, 12, 6]
[people-69, bus-Bus_4, BusStop_3->BusStop_1, 8, 11]
[people-54, bus-Bus_4, BusStop_0->BusStop_1, 4, 15]
[people-148, bus-Bus_5, BusStop_4->BusStop_1, 12, 5]
[people-149, bus-Bus_5, BusStop_4->BusStop_1, 12, 5]
[people-264, bus-Bus_5, BusStop_4->BusStop_1, 12, 2]
[people-301, bus-Bus_5, BusStop_4->BusStop_1, 12, 1]
[people-61, bus-Bus_0, BusStop_4->BusStop_5, 12, 11]
[people-96, bus-Bus_0, BusStop_4->BusStop_5, 12, 10]
[people-263, bus-Bus_0, BusStop_4->BusStop_5, 12, 6]
[people-36, bus-Bus_1, BusStop_6->BusStop_7, 12, 12]
[people-153, bus-Bus_1, BusStop_3->BusStop_7, 8, 13]
[people-147, bus-Bus_1, BusStop_4->BusStop_7, 4, 17]
[people-82, bus-Bus_2, BusStop_7->BusStop_8, 12, 11]
[people-85, bus-Bus_2, BusStop_7->BusStop_8, 12, 11]
[people-166, bus-Bus_2, BusStop_7->BusStop_8, 12, 9]
[people-167, bus-Bus_2, BusStop_7->BusStop_8, 12, 9]
[people-243, bus-Bus_2, BusStop_7->BusStop_8, 12, 7]
[people-15, bus-Bus_1-Bus_2, BusStop_3->BusStop_7->BusStop_8, 20, 4]
[people-17, bus-Bus_1-Bus_2, BusStop_3->BusStop_7->BusStop_8, 20, 4]
[people-18, bus-Bus_1-Bus_2, BusStop_3->BusStop_7->BusStop_8, 20, 4]
[people-19, bus-Bus_1-Bus_2, BusStop_3->BusStop_7->BusStop_8, 20, 4]
[people-20, bus-Bus_3, BusStop_3->BusStop_4, 12, 12]
[people-68, bus-Bus_4, BusStop_3->BusStop_4, 12, 11]
[people-53, bus-Bus_4, BusStop_0->BusStop_4, 8, 15]
[people-325, bus-Bus_5, BusStop_1->BusStop_4, 4, 13]
[people-326, bus-Bus_5, BusStop_1->BusStop_4, 4, 13]
[people-378, bus-Bus_5, BusStop_1->BusStop_4, 4, 12]
[people-413, bus-Bus_5, BusStop_1->BusStop_4, 4, 11]
[people-224, bus-Bus_6, BusStop_3->BusStop_7, 8, 11]
[people-226, bus-Bus_6, BusStop_3->BusStop_7, 8, 11]
[people-228, bus-Bus_6, BusStop_3->BusStop_7, 8, 11]
[people-268, bus-Bus_6, BusStop_3->BusStop_7, 8, 10]
[people-311, bus-Bus_6, BusStop_3->BusStop_7, 8, 9]
[people-47, bus-Bus_0, BusStop_5->BusStop_4, 4, 24]
[people-89, bus-Bus_0, BusStop_5->BusStop_4, 4, 23]
[people-154, bus-Bus_1, BusStop_3->BusStop_6, 12, 13]
[people-146, bus-Bus_1, BusStop_4->BusStop_6, 8, 17]
[people-150, bus-Bus_1, BusStop_4->BusStop_6, 8, 17]
[people-115, bus-Bus_2, BusStop_8->BusStop_7, 4, 22]
[people-52, bus-Bus_3, BusStop_0->BusStop_3, 12, 15]
[people-232, bus-Bus_3, BusStop_1->BusStop_3, 8, 15]
[people-234, bus-Bus_3, BusStop_1->BusStop_3, 8, 15]
[people-306, bus-Bus_3, BusStop_4->BusStop_3, 4, 17]
[people-363, bus-Bus_4, BusStop_4->BusStop_3, 4, 16]
[people-415, bus-Bus_5, BusStop_1->BusStop_3, 8, 11]
[people-480, bus-Bus_5, BusStop_4->BusStop_3, 4, 13]
[people-42, bus-Bus_0-Bus_5, BusStop_5->BusStop_4->BusStop_3, 8, 20]
[people-225, bus-Bus_6, BusStop_3->BusStop_6, 12, 11]
[people-313, bus-Bus_6, BusStop_3->BusStop_6, 12, 9]
[people-207, bus-Bus_6, BusStop_7->BusStop_6, 4, 20]
[people-157, bus-Bus_0, BusStop_2->BusStop_1, 12, 17]
[people-236, bus-Bus_3, BusStop_1->BusStop_0, 12, 15]
[people-237, bus-Bus_3, BusStop_1->BusStop_0, 12, 15]
[people-108, bus-Bus_3, BusStop_3->BusStop_0, 4, 26]
[people-307, bus-Bus_4, BusStop_4->BusStop_0, 8, 17]
[people-451, bus-Bus_4, BusStop_4->BusStop_0, 8, 14]
[people-452, bus-Bus_4, BusStop_4->BusStop_0, 8, 14]
[people-412, bus-Bus_5, BusStop_1->BusStop_0, 12, 11]
[people-414, bus-Bus_5, BusStop_1->BusStop_0, 12, 11]
[people-514, bus-Bus_5, BusStop_4->BusStop_0, 8, 12]
[people-515, bus-Bus_5, BusStop_4->BusStop_0, 8, 12]
[people-519, bus-Bus_5, BusStop_4->BusStop_0, 8, 12]
[people-520, bus-Bus_5, BusStop_4->BusStop_0, 8, 12]
[people-44, bus-Bus_0-Bus_5, BusStop_5->BusStop_4->BusStop_0, 12, 20]
[people-189, bus-Bus_5, BusStop_3->BusStop_0, 4, 24]
[people-190, bus-Bus_5, BusStop_3->BusStop_0, 4, 24]
[people-86, bus-Bus_6, BusStop_6->BusStop_3, 4, 27]
[people-126, bus-Bus_6, BusStop_6->BusStop_3, 4, 26]
[people-88, bus-Bus_0, BusStop_5->BusStop_2, 12, 23]
[people-872, bus-Bus_0, BusStop_1->BusStop_2, 4, 12]
[people-7, bus-Bus_3-Bus_0, BusStop_4->BusStop_1->BusStop_2, 16, 20]
[people-51, bus-Bus_3-Bus_0, BusStop_0->BusStop_1->BusStop_2, 8, 27]
[people-60, bus-Bus_4-Bus_0, BusStop_4->BusStop_1->BusStop_2, 16, 19]
[people-100, bus-Bus_5-Bus_0, BusStop_4->BusStop_1->BusStop_2, 16, 18]
[people-101, bus-Bus_5-Bus_0, BusStop_4->BusStop_1->BusStop_2, 16, 18]
[people-124, bus-Bus_1, BusStop_7->BusStop_4, 12, 22]
[people-113, bus-Bus_2, BusStop_8->BusStop_5, 12, 22]
[people-304, bus-Bus_3, BusStop_4->BusStop_1, 12, 17]
[people-305, bus-Bus_3, BusStop_4->BusStop_1, 12, 17]
[people-110, bus-Bus_3, BusStop_3->BusStop_1, 8, 26]
[people-90, bus-Bus_3, BusStop_0->BusStop_1, 4, 30]
[people-361, bus-Bus_4, BusStop_4->BusStop_1, 12, 16]
[people-365, bus-Bus_4, BusStop_4->BusStop_1, 12, 16]
[people-367, bus-Bus_4, BusStop_4->BusStop_1, 12, 16]
[people-478, bus-Bus_4, BusStop_4->BusStop_1, 12, 13]
[people-479, bus-Bus_4, BusStop_4->BusStop_1, 12, 13]
[people-93, bus-Bus_4, BusStop_0->BusStop_1, 4, 30]
[people-205, bus-Bus_6, BusStop_7->BusStop_4, 12, 20]
[people-308, bus-Bus_0, BusStop_4->BusStop_5, 12, 21]
[people-27, bus-Bus_3-Bus_0, BusStop_1->BusStop_4->BusStop_5, 16, 24]
[people-196, bus-Bus_4-Bus_0, BusStop_1->BusStop_4->BusStop_5, 16, 20]
[people-192, bus-Bus_0, BusStop_2->BusStop_5, 4, 32]
[people-195, bus-Bus_0, BusStop_2->BusStop_5, 4, 32]
[people-262, bus-Bus_1, BusStop_4->BusStop_7, 4, 30]
[people-303, bus-Bus_1, BusStop_4->BusStop_7, 4, 29]
[people-360, bus-Bus_1, BusStop_4->BusStop_7, 4, 28]
[people-78, bus-Bus_3-Bus_1, BusStop_1->BusStop_4->BusStop_7, 8, 31]
[people-9, bus-Bus_1-Bus_2, BusStop_4->BusStop_7->BusStop_8, 16, 24]
[people-13, bus-Bus_1-Bus_2, BusStop_4->BusStop_7->BusStop_8, 16, 24]
[people-58, bus-Bus_1-Bus_2, BusStop_4->BusStop_7->BusStop_8, 16, 23]
[people-253, bus-Bus_2, BusStop_5->BusStop_8, 4, 31]
[people-254, bus-Bus_2, BusStop_5->BusStop_8, 4, 31]
[people-295, bus-Bus_2, BusStop_5->BusStop_8, 4, 30]
[people-107, bus-Bus_3, BusStop_3->BusStop_4, 12, 26]
