STEP, BUS(name, type, x, y, n.pass, root, leader), BUSSTOP(name, x, y, queue)
1,[Bus_0<man>:[x=8 ,y=8]-[PAX=2],Bus_1<man>:[x=0 ,y=0]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_3<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_5<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=3],BusStop_3:[x=8 ,y=0]-[QLine=5],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=0]]
2,[Bus_0<man>:[x=8 ,y=7]-[PAX=2],Bus_1<man>:[x=0 ,y=1]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=0],Bus_RB_3<robot>:[x=2 ,y=2]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=0],Bus_RB_5<robot>:[x=2 ,y=2]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=7]-[PAX=0],Bus_RB_7<robot>:[x=2 ,y=2]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=7]-[PAX=0],Bus_RB_9<robot>:[x=2 ,y=2]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=9],BusStop_3:[x=8 ,y=0]-[QLine=7],BusStop_2:[x=8 ,y=8]-[QLine=1],BusStop_1:[x=0 ,y=8]-[QLine=1]]
3,[Bus_0<man>:[x=8 ,y=6]-[PAX=2],Bus_1<man>:[x=0 ,y=2]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=0],Bus_RB_3<robot>:[x=3 ,y=3]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=0],Bus_RB_5<robot>:[x=3 ,y=3]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=6]-[PAX=0],Bus_RB_7<robot>:[x=3 ,y=3]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=6]-[PAX=0],Bus_RB_9<robot>:[x=3 ,y=3]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=1],BusStop_4:[x=4 ,y=4]-[QLine=10],BusStop_3:[x=8 ,y=0]-[QLine=12],BusStop_2:[x=8 ,y=8]-[QLine=4],BusStop_1:[x=0 ,y=8]-[QLine=1]]
4,[Bus_0<man>:[x=8 ,y=5]-[PAX=2],Bus_1<man>:[x=0 ,y=3]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=0],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=6],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=0],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=5]-[PAX=0],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=5]-[PAX=0],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=7],BusStop_3:[x=8 ,y=0]-[QLine=15],BusStop_2:[x=8 ,y=8]-[QLine=5],BusStop_1:[x=0 ,y=8]-[QLine=2]]
5,[Bus_0<man>:[x=8 ,y=4]-[PAX=2],Bus_1<man>:[x=0 ,y=4]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=0],Bus_RB_3<robot>:[x=5 ,y=4]-[PAX=6],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=0],Bus_RB_5<robot>:[x=5 ,y=4]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=4]-[PAX=0],Bus_RB_7<robot>:[x=5 ,y=4]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=4]-[PAX=0],Bus_RB_9<robot>:[x=5 ,y=4]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=14],BusStop_3:[x=8 ,y=0]-[QLine=16],BusStop_2:[x=8 ,y=8]-[QLine=7],BusStop_1:[x=0 ,y=8]-[QLine=2]]
6,[Bus_0<man>:[x=8 ,y=3]-[PAX=2],Bus_1<man>:[x=0 ,y=5]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=0],Bus_RB_3<robot>:[x=6 ,y=3]-[PAX=6],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=0],Bus_RB_5<robot>:[x=6 ,y=3]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=3]-[PAX=0],Bus_RB_7<robot>:[x=6 ,y=3]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=3]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=3]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=5],BusStop_4:[x=4 ,y=4]-[QLine=18],BusStop_3:[x=8 ,y=0]-[QLine=17],BusStop_2:[x=8 ,y=8]-[QLine=9],BusStop_1:[x=0 ,y=8]-[QLine=3]]
7,[Bus_0<man>:[x=8 ,y=2]-[PAX=2],Bus_1<man>:[x=0 ,y=6]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_3<robot>:[x=7 ,y=2]-[PAX=6],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_5<robot>:[x=7 ,y=2]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_7<robot>:[x=7 ,y=2]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=2]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=6],BusStop_4:[x=4 ,y=4]-[QLine=18],BusStop_3:[x=8 ,y=0]-[QLine=23],BusStop_2:[x=8 ,y=8]-[QLine=12],BusStop_1:[x=0 ,y=8]-[QLine=3]]
8,[Bus_0<man>:[x=8 ,y=1]-[PAX=2],Bus_1<man>:[x=0 ,y=7]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=6],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_7<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=7],BusStop_4:[x=4 ,y=4]-[QLine=20],BusStop_3:[x=8 ,y=0]-[QLine=26],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=3]]
9,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=4],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=5],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=0],Bus_RB_7<robot>:[x=8 ,y=0]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=0]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=0]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=7],BusStop_4:[x=4 ,y=4]-[QLine=20],BusStop_3:[x=8 ,y=0]-[QLine=0],BusStop_2:[x=8 ,y=8]-[QLine=20],BusStop_1:[x=0 ,y=8]-[QLine=0]]
10,[Bus_0<man>:[x=7 ,y=1]-[PAX=10],Bus_1<man>:[x=1 ,y=7]-[PAX=4],Bus_RB_2<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=1]-[PAX=5],Bus_RB_5<robot>:[x=7 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=7 ,y=1]-[PAX=0],Bus_RB_7<robot>:[x=7 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=7 ,y=1]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=8],BusStop_4:[x=4 ,y=4]-[QLine=23],BusStop_3:[x=8 ,y=0]-[QLine=2],BusStop_2:[x=8 ,y=8]-[QLine=24],BusStop_1:[x=0 ,y=8]-[QLine=0]]
11,[Bus_0<man>:[x=6 ,y=2]-[PAX=10],Bus_1<man>:[x=2 ,y=6]-[PAX=4],Bus_RB_2<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=2]-[PAX=5],Bus_RB_5<robot>:[x=6 ,y=2]-[PAX=0],Bus_RB_6<robot>:[x=6 ,y=2]-[PAX=0],Bus_RB_7<robot>:[x=6 ,y=2]-[PAX=0],Bus_RB_8<robot>:[x=6 ,y=2]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=2]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=8],BusStop_4:[x=4 ,y=4]-[QLine=25],BusStop_3:[x=8 ,y=0]-[QLine=7],BusStop_2:[x=8 ,y=8]-[QLine=26],BusStop_1:[x=0 ,y=8]-[QLine=1]]
